yyyy_mm,country,crop,rainfall_mm,temp_c,price_usd
2017-04,India,Wheat,130.09,30.93,168.91
2017-05,India,Wheat,67.21,31.8,165.4
2017-06,India,Wheat,119.9,30.86,164.06
2017-07,India,Wheat,0.0,27.66,167.73
2017-08,India,Wheat,50.16,24.54,162.42
2017-09,India,Wheat,65.18,24.09,162.55
2017-10,India,Wheat,50.83,22.16,160.61
2017-11,India,Wheat,106.66,22.62,159.3
2017-12,India,Wheat,88.68,26.02,163.31
2018-01,India,Wheat,120.1,27.33,165.46
2018-02,India,Wheat,50.7,30.91,170.81
2018-03,India,Wheat,154.65,32.79,170.19
2018-04,India,Wheat,201.74,31.1,167.41
2018-05,India,Wheat,42.58,31.53,166.51
2018-06,India,Wheat,38.74,32.9,167.48
2018-07,India,Wheat,160.15,26.06,168.19
2018-08,India,Wheat,56.52,21.97,163.85
2018-09,India,Wheat,143.44,20.57,164.21
2018-10,India,Wheat,,23.05,165.13
2018-11,India,Wheat,146.52,23.72,175.2
2018-12,India,Wheat,75.89,25.3,182.7
2019-01,India,Wheat,95.49,30.02,179.29
2019-02,India,Wheat,185.88,26.05,178.14
2019-03,India,Wheat,79.08,32.99,172.29
2019-04,India,Wheat,47.53,35.6,169.93
2019-05,India,Wheat,73.87,30.45,171.19
2019-06,India,Wheat,119.14,29.87,176.01
2019-07,India,Wheat,0.0,26.75,173.1
2019-08,India,Wheat,106.25,24.01,170.48
2019-09,India,Wheat,26.89,23.13,161.89
2019-10,India,Wheat,124.87,25.38,161.24
2019-11,India,Wheat,0.0,26.73,156.99
2019-12,India,Wheat,20.81,24.94,154.87
2020-01,India,Wheat,0.0,31.18,151.36
2020-02,India,Wheat,42.43,30.56,150.99
2020-03,India,Wheat,115.64,35.25,143.96
2020-04,India,Wheat,93.25,32.84,138.09
2020-05,India,Wheat,85.58,32.55,146.6
2020-06,India,Wheat,82.45,31.11,141.46
2020-07,India,Wheat,92.2,33.3,137.07
2020-08,India,Wheat,7.49,26.92,144.42
2020-09,India,Wheat,101.63,22.49,156.04
2020-10,India,Wheat,95.76,24.61,151.35
2020-11,India,Wheat,82.32,23.07,149.88
2020-12,India,Wheat,101.39,24.68,151.24
2021-01,India,Wheat,97.79,29.51,158.16
2021-02,India,Wheat,214.1,30.55,154.21
2021-03,India,Wheat,95.56,32.79,153.23
2021-04,India,Wheat,85.58,33.02,156.34
2021-05,India,Wheat,55.57,32.89,158.08
2021-06,India,Wheat,30.06,31.21,156.57
2021-07,India,Wheat,5.33,24.77,156.04
2021-08,India,Wheat,14.67,26.61,150.54
2021-09,India,Wheat,54.97,22.03,149.59
2021-10,India,Wheat,76.06,20.6,148.52
2021-11,India,Wheat,62.28,23.57,149.45
2021-12,India,Wheat,22.07,25.64,147.23
2022-01,India,Wheat,134.01,26.84,149.11
2022-02,India,Wheat,136.36,31.89,153.16
2022-03,India,Wheat,91.21,30.09,153.79
2022-04,India,Wheat,64.83,32.32,155.19
2022-05,India,Wheat,133.69,31.36,155.41
2022-06,India,Wheat,103.28,30.42,155.41
2022-07,India,Wheat,0.0,28.46,152.52
2022-08,India,Wheat,63.92,23.82,153.79
2022-09,India,Wheat,74.94,24.88,153.4
2022-10,India,Wheat,2.02,23.11,161.77
2022-11,India,Wheat,70.61,20.52,168.06
2022-12,India,Wheat,0.0,22.24,169.61
2023-01,India,Wheat,160.17,27.98,166.55
2023-02,India,Wheat,166.88,30.13,162.1
2023-03,India,Wheat,85.63,32.16,166.87
2023-04,India,Wheat,125.81,32.95,167.92
2023-05,India,Wheat,0.0,32.71,169.84
2023-06,India,Wheat,22.62,32.08,162.86
2023-07,India,Wheat,62.37,26.15,166.57
2023-08,India,Wheat,3.67,23.55,168.39
2023-09,India,Wheat,102.08,21.85,163.95
2023-10,India,Wheat,175.84,23.48,162.06
2023-11,India,Wheat,0.0,25.74,163.12
2023-12,India,Wheat,17.75,24.78,163.33
2024-01,India,Wheat,,23.83,162.16
2024-02,India,Wheat,188.67,27.66,161.74
2024-03,India,Wheat,27.44,30.94,160.74
2024-04,India,Wheat,118.94,32.07,161.35
2024-05,India,Wheat,210.06,31.65,167.23
2024-06,India,Wheat,0.0,30.56,156.97
2024-07,India,Wheat,3.14,27.48,156.02
2024-08,India,Wheat,42.58,27.25,156.72
2024-09,India,Wheat,27.98,22.54,157.91
2024-10,India,Wheat,104.76,21.56,156.42
2024-11,India,Wheat,73.71,24.47,149.39
2024-12,India,Wheat,0.0,22.94,150.71
2000-01,USA,Wheat,41.32,15.91,201.22
2000-02,USA,Wheat,36.85,16.5,197.06
2000-03,USA,Wheat,64.98,13.16,200.06
2000-04,USA,Wheat,44.88,18.91,203.82
2000-05,USA,Wheat,85.27,18.24,196.02
2000-06,USA,Wheat,34.5,17.01,190.81
2000-07,USA,Wheat,81.36,13.12,191.32
2000-08,USA,Wheat,15.56,11.02,190.06
2000-09,USA,Wheat,27.42,10.54,189.99
2000-10,USA,Wheat,23.26,11.47,186.58
2000-11,USA,Wheat,84.17,9.66,190.09
2000-12,USA,Wheat,60.91,11.13,193.21
2001-01,USA,Wheat,53.65,15.31,193.47
2001-02,USA,Wheat,83.96,11.1,197.98
2001-03,USA,Wheat,12.37,20.92,199.85
2001-04,USA,Wheat,76.71,20.0,196.41
2001-05,USA,Wheat,135.51,19.46,197.89
2001-06,USA,Wheat,72.97,20.7,194.05
2001-07,USA,Wheat,62.04,8.49,197.57
2001-08,USA,Wheat,67.44,5.92,197.37
2001-09,USA,Wheat,71.28,11.58,196.63
2001-10,USA,Wheat,0.0,9.98,193.9
2001-11,USA,Wheat,0.0,11.24,198.79
2001-12,USA,Wheat,57.31,10.96,198.17
2002-01,USA,Wheat,38.55,17.21,196.46
2002-02,USA,Wheat,108.36,20.61,195.05
2002-03,USA,Wheat,66.13,20.94,197.18
2002-04,USA,Wheat,19.96,19.13,198.64
2002-05,USA,Wheat,37.55,12.3,200.29
2002-06,USA,Wheat,0.0,20.06,202.02
2002-07,USA,Wheat,52.98,19.07,210.58
2002-08,USA,Wheat,45.35,14.65,208.96
2002-09,USA,Wheat,31.68,7.74,206.91
2002-10,USA,Wheat,74.37,12.25,203.65
2002-11,USA,Wheat,80.37,13.54,206.12
2002-12,USA,Wheat,45.89,17.7,210.63
2003-01,USA,Wheat,0.0,12.08,210.18
2003-02,USA,Wheat,87.52,16.75,206.82
2003-03,USA,Wheat,92.25,21.82,203.52
2003-04,USA,Wheat,87.28,20.19,206.12
2003-05,USA,Wheat,105.03,15.61,209.1
2003-06,USA,Wheat,34.06,18.88,211.27
2003-07,USA,Wheat,120.26,16.93,208.61
2003-08,USA,Wheat,22.22,12.79,209.53
2003-09,USA,Wheat,66.89,11.4,210.0
2003-10,USA,Wheat,0.0,9.14,210.88
2003-11,USA,Wheat,16.5,15.6,214.36
2003-12,USA,Wheat,96.49,9.5,215.26
2004-01,USA,Wheat,52.17,13.04,217.97
2004-02,USA,Wheat,94.2,17.54,218.24
2004-03,USA,Wheat,82.7,22.26,219.4
2004-04,USA,Wheat,74.85,15.01,221.92
2004-05,USA,Wheat,116.5,14.96,216.1
2004-06,USA,Wheat,61.9,10.71,214.82
2004-07,USA,Wheat,6.58,15.11,212.94
2004-08,USA,Wheat,26.9,8.77,210.38
2004-09,USA,Wheat,60.95,9.39,209.28
2004-10,USA,Wheat,53.87,12.2,215.26
2004-11,USA,Wheat,0.0,8.53,211.8
2004-12,USA,Wheat,29.27,13.27,215.67
2005-01,USA,Wheat,42.55,14.0,208.94
2005-02,USA,Wheat,58.04,19.74,207.6
2005-03,USA,Wheat,34.31,20.91,208.25
2005-04,USA,Wheat,59.15,17.69,210.59
2005-05,USA,Wheat,53.73,18.77,213.44
2005-06,USA,Wheat,92.15,20.98,216.61
2005-07,USA,Wheat,84.27,16.31,215.22
2005-08,USA,Wheat,46.63,7.84,213.37
2005-09,USA,Wheat,32.65,12.86,216.8
2005-10,USA,Wheat,46.2,6.38,216.03
2005-11,USA,Wheat,19.91,15.38,210.93
2005-12,USA,Wheat,16.6,15.91,206.4
2006-01,USA,Wheat,31.79,15.97,202.72
2006-02,USA,Wheat,49.96,18.02,204.71
2006-03,USA,Wheat,40.68,18.63,205.28
2006-04,USA,Wheat,82.86,22.26,208.04
2006-05,USA,Wheat,97.48,18.09,206.33
2006-06,USA,Wheat,21.39,18.29,206.97
2006-07,USA,Wheat,60.75,17.91,209.47
2006-08,USA,Wheat,44.4,10.63,208.23
2006-09,USA,Wheat,54.66,8.62,210.06
2006-10,USA,Wheat,41.61,6.02,207.41
2006-11,USA,Wheat,0.8,7.12,205.96
2006-12,USA,Wheat,13.13,6.41,204.43
2007-01,USA,Wheat,60.88,17.43,199.65
2007-02,USA,Wheat,99.86,23.53,201.6
2007-03,USA,Wheat,9.16,24.08,199.72
2007-04,USA,Wheat,88.37,14.58,199.77
2007-05,USA,Wheat,111.28,21.75,201.69
2007-06,USA,Wheat,64.41,22.24,203.48
2007-07,USA,Wheat,76.51,13.48,206.14
2007-08,USA,Wheat,29.91,12.84,205.74
2007-09,USA,Wheat,40.83,3.98,204.05
2007-10,USA,Wheat,0.0,10.89,203.73
2007-11,USA,Wheat,0.0,7.12,196.98
2007-12,USA,Wheat,79.28,13.17,191.19
2008-01,USA,Wheat,30.45,9.8,185.9
2008-02,USA,Wheat,55.33,19.31,181.91
2008-03,USA,Wheat,34.0,22.75,183.51
2008-04,USA,Wheat,35.7,17.39,179.89
2008-05,USA,Wheat,70.37,15.54,178.38
2008-06,USA,Wheat,47.11,10.31,183.58
2008-07,USA,Wheat,71.34,14.11,182.15
2008-08,USA,Wheat,64.58,10.56,185.1
2008-09,USA,Wheat,54.04,5.5,181.37
2008-10,USA,Wheat,49.16,11.51,180.55
2008-11,USA,Wheat,91.74,9.17,176.75
2008-12,USA,Wheat,18.97,8.91,175.39
2009-01,USA,Wheat,58.35,13.15,178.75
2009-02,USA,Wheat,102.98,21.07,171.84
2009-03,USA,Wheat,113.52,21.34,173.58
2009-04,USA,Wheat,35.35,19.57,174.53
2009-05,USA,Wheat,66.22,21.39,172.15
2009-06,USA,Wheat,109.74,13.63,166.37
2009-07,USA,Wheat,75.24,15.11,166.66
2009-08,USA,Wheat,56.86,12.99,164.54
2009-09,USA,Wheat,37.88,9.1,165.47
2009-10,USA,Wheat,30.49,11.45,165.56
2009-11,USA,Wheat,53.06,8.07,171.96
2009-12,USA,Wheat,43.43,14.2,171.01
2010-01,USA,Wheat,58.72,16.84,166.91
2010-02,USA,Wheat,71.36,7.78,167.63
2010-03,USA,Wheat,55.25,23.3,168.51
2010-04,USA,Wheat,93.96,9.84,173.95
2010-05,USA,Wheat,163.02,17.28,177.29
2010-06,USA,Wheat,15.69,20.92,178.71
2010-07,USA,Wheat,69.72,13.94,184.57
2010-08,USA,Wheat,28.19,7.61,179.81
2010-09,USA,Wheat,61.73,7.02,177.25
2010-10,USA,Wheat,43.4,13.42,173.55
2010-11,USA,Wheat,67.27,4.26,171.99
2010-12,USA,Wheat,86.27,16.26,166.48
2011-01,USA,Wheat,65.77,14.82,169.02
2011-02,USA,Wheat,102.96,13.53,168.13
2011-03,USA,Wheat,5.26,17.39,162.25
2011-04,USA,Wheat,125.71,16.61,158.19
2011-05,USA,Wheat,86.84,22.22,159.44
2011-06,USA,Wheat,101.34,19.94,162.79
2011-07,USA,Wheat,23.4,9.27,170.78
2011-08,USA,Wheat,26.08,11.15,182.44
2011-09,USA,Wheat,48.79,7.79,184.09
2011-10,USA,Wheat,41.49,14.31,180.14
2011-11,USA,Wheat,52.9,6.17,171.61
2011-12,USA,Wheat,83.54,17.85,172.68
2012-01,USA,Wheat,7.04,14.89,
2012-02,USA,Wheat,98.21,13.63,167.77
2012-03,USA,Wheat,75.84,17.07,165.32
2012-04,USA,Wheat,71.89,17.33,164.75
2012-05,USA,Wheat,31.46,15.08,169.02
2012-06,USA,Wheat,84.09,17.82,169.65
2012-07,USA,Wheat,0.0,10.91,169.01
2012-08,USA,Wheat,70.45,5.23,164.87
2012-09,USA,Wheat,0.0,9.4,158.17
2012-10,USA,Wheat,43.6,3.99,156.23
2012-11,USA,Wheat,40.84,8.16,156.01
2012-12,USA,Wheat,86.09,9.47,163.08
2013-01,USA,Wheat,54.64,12.1,163.6
2013-02,USA,Wheat,48.18,24.17,167.53
2013-03,USA,Wheat,,19.52,165.54
2013-04,USA,Wheat,116.19,20.82,160.8
2013-05,USA,Wheat,91.68,13.41,156.94
2013-06,USA,Wheat,57.43,15.32,154.04
2013-07,USA,Wheat,52.91,15.72,162.55
2013-08,USA,Wheat,3.98,9.08,159.26
2013-09,USA,Wheat,56.07,13.7,162.62
2013-10,USA,Wheat,0.0,5.99,159.01
2013-11,USA,Wheat,66.97,9.72,162.73
2013-12,USA,Wheat,54.86,10.55,164.27
2014-01,USA,Wheat,131.61,15.55,163.65
2014-02,USA,Wheat,36.0,15.37,163.48
2014-03,USA,Wheat,72.51,18.43,160.86
2014-04,USA,Wheat,131.95,19.21,162.65
2014-05,USA,Wheat,111.33,16.88,160.83
2014-06,USA,Wheat,48.11,19.12,155.93
2014-07,USA,Wheat,66.72,15.79,150.81
2014-08,USA,Wheat,51.06,12.2,151.5
2014-09,USA,Wheat,52.87,9.24,157.82
2014-10,USA,Wheat,21.04,12.66,158.46
2014-11,USA,Wheat,41.73,9.88,157.99
2014-12,USA,Wheat,3.06,11.48,159.13
2015-01,USA,Wheat,64.05,15.35,164.35
2015-02,USA,Wheat,82.5,23.16,165.23
2015-03,USA,Wheat,68.77,14.86,163.59
2015-04,USA,Wheat,29.55,22.57,168.01
2015-05,USA,Wheat,105.24,13.02,169.73
2015-06,USA,Wheat,79.94,18.22,175.87
2015-07,USA,Wheat,38.22,20.25,176.6
2015-08,USA,Wheat,42.58,14.13,171.71
2015-09,USA,Wheat,0.0,11.24,166.23
2015-10,USA,Wheat,11.24,8.13,172.84
2015-11,USA,Wheat,28.28,10.77,179.73
2015-12,USA,Wheat,87.85,11.66,179.01
2016-01,USA,Wheat,40.81,12.38,177.48
2016-02,USA,Wheat,88.21,16.53,183.33
2016-03,USA,Wheat,59.44,19.99,178.9
2016-04,USA,Wheat,85.44,17.44,175.32
2016-05,USA,Wheat,71.35,16.64,177.89
2016-06,USA,Wheat,95.19,12.97,176.31
2016-07,USA,Wheat,43.96,16.3,176.29
2016-08,USA,Wheat,3.82,14.32,175.64
2016-09,USA,Wheat,2.95,11.44,176.99
2016-10,USA,Wheat,26.04,13.22,182.62
2016-11,USA,Wheat,6.94,10.96,182.98
2016-12,USA,Wheat,63.31,13.81,185.56
2017-01,USA,Wheat,46.03,16.01,177.36
2017-02,USA,Wheat,140.24,17.19,177.16
2017-03,USA,Wheat,23.46,17.56,173.79
2017-04,USA,Wheat,84.11,27.38,168.91
2017-05,USA,Wheat,41.75,17.82,165.4
2017-06,USA,Wheat,54.2,15.28,164.06
2017-07,USA,Wheat,64.24,16.45,167.73
2017-08,USA,Wheat,0.0,13.34,162.42
2017-09,USA,Wheat,51.52,5.99,162.55
2017-10,USA,Wheat,99.09,13.74,160.61
2017-11,USA,Wheat,30.81,10.36,159.3
2017-12,USA,Wheat,58.79,8.8,163.31
2018-01,USA,Wheat,90.75,18.96,165.46
2018-02,USA,Wheat,64.08,19.59,170.81
2018-03,USA,Wheat,58.16,15.11,170.19
2018-04,USA,Wheat,9.73,25.92,167.41
2018-05,USA,Wheat,94.82,21.53,166.51
2018-06,USA,Wheat,65.6,17.47,167.48
2018-07,USA,Wheat,29.62,20.3,168.19
2018-08,USA,Wheat,54.8,13.03,163.85
2018-09,USA,Wheat,26.9,10.58,164.21
2018-10,USA,Wheat,26.15,7.8,165.13
2018-11,USA,Wheat,62.6,12.61,175.2
2018-12,USA,Wheat,10.85,14.09,182.7
2019-01,USA,Wheat,91.42,15.05,179.29
2019-02,USA,Wheat,27.07,14.87,178.14
2019-03,USA,Wheat,55.71,19.76,172.29
2019-04,USA,Wheat,135.69,19.77,169.93
2019-05,USA,Wheat,109.41,14.89,171.19
2019-06,USA,Wheat,71.93,12.59,176.01
2019-07,USA,Wheat,31.78,16.88,173.1
2019-08,USA,Wheat,35.12,3.83,170.48
2019-09,USA,Wheat,46.61,11.35,161.89
2019-10,USA,Wheat,43.13,8.41,161.24
2019-11,USA,Wheat,41.69,15.03,156.99
2019-12,USA,Wheat,50.08,10.86,154.87
2020-01,USA,Wheat,53.57,17.2,151.36
2020-02,USA,Wheat,25.74,16.18,150.99
2020-03,USA,Wheat,60.09,19.71,143.96
2020-04,USA,Wheat,,22.46,138.09
2020-05,USA,Wheat,34.54,17.79,146.6
2020-06,USA,Wheat,63.31,20.82,141.46
2020-07,USA,Wheat,35.41,11.69,137.07
2020-08,USA,Wheat,54.34,13.48,144.42
2020-09,USA,Wheat,32.75,13.75,156.04
2020-10,USA,Wheat,86.32,12.2,151.35
2020-11,USA,Wheat,59.61,17.06,149.88
2020-12,USA,Wheat,11.65,9.96,151.24
2021-01,USA,Wheat,80.14,10.4,158.16
2021-02,USA,Wheat,,14.19,154.21
2021-03,USA,Wheat,58.28,21.53,153.23
2021-04,USA,Wheat,87.41,21.66,156.34
2021-05,USA,Wheat,60.84,19.67,158.08
2021-06,USA,Wheat,95.79,13.76,156.57
2021-07,USA,Wheat,36.76,17.56,156.04
2021-08,USA,Wheat,32.43,8.42,150.54
2021-09,USA,Wheat,24.72,14.53,149.59
2021-10,USA,Wheat,25.03,19.52,148.52
2021-11,USA,Wheat,77.39,11.89,149.45
2021-12,USA,Wheat,69.86,14.44,147.23
2022-01,USA,Wheat,111.3,13.36,149.11
2022-02,USA,Wheat,137.03,11.47,153.16
2022-03,USA,Wheat,44.67,17.32,153.79
2022-04,USA,Wheat,80.11,16.36,155.19
2022-05,USA,Wheat,40.3,14.51,155.41
2022-06,USA,Wheat,45.67,23.24,155.41
